address,bathrooms,bedrooms,buildYear,floorAreaSqm,id,isAgentVerified,isVerifiedListing,listingFeatures/0,listingFeatures/1,listingFeatures/2,listingFeatures/3,listingFeatures/4,listingFeatures/5,mrt/nearbyText,postedOn,price,pricePerAreaText,pricePerSqm,propertyType,psfText,recencyText,tenure,thumbnail,title,url,room_category,row_index,listing_id,final_url,page_title,verdict
418 Clementi Avenue 1,1,1,Built: 2011,50,500017341,FALSE,FALSE,1,1,538 sqft,HDB Flat,99-year Leasehold,Built: 2011,13 min (1.09 km) from EW23 Clementi MRT Station,11 Mar 2026,429000,S$ 797.40 psf,S$ 797.40 psf,For Sale,S$ 797.40 psf,"Listed on Mar 11, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500017341/UPHO.157849787.V550/418-Clementi-Avenue-1-Buona-Vista-West-Coast-Clementi-New-Town-Singapore.jpg,418 Clementi Avenue 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-418-clementi-avenue-1-500017341,1-room,140,500017341,https://www.propertyguru.com.sg/listing/hdb-for-sale-418-clementi-avenue-1-500017341,"418 Clementi Avenue 1 HDB Flat For Sale at S$ 429,000 | PropertyGuru Singapore",active_listing
7 Telok Blangah Crescent,1,-1,Built: 1974,31,500032608,FALSE,FALSE,Studio,1,334 sqft,HDB Flat,99-year Leasehold,Built: 1974,NA,11 Mar 2026,280000,S$ 838.32 psf,S$ 838.32 psf,For Sale,S$ 838.32 psf,"Listed on Mar 11, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500032608/UPHO.158194252.V550/7-Telok-Blangah-Crescent-Harbourfront-Telok-Blangah-Singapore.jpg,7 Telok Blangah Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-7-telok-blangah-crescent-500032608,1-room,141,500032608,https://www.propertyguru.com.sg/listing/hdb-for-sale-7-telok-blangah-crescent-500032608,"7 Telok Blangah Crescent HDB Flat For Sale at S$ 280,000 | PropertyGuru Singapore",active_listing
467A Fernvale Link,1,1,Built: 2015,47,60237922,FALSE,FALSE,1,1,505 sqft,HDB Flat,99-year Leasehold,Built: 2015,5 min (380 m) from SW3 Kupang LRT Station,11 Mar 2026,398888,S$ 789.88 psf,S$ 789.88 psf,For Sale,S$ 789.88 psf,"Listed on Mar 11, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/60237922/UPHO.158958556.V550/467A-Fernvale-Link-Seletar-Yio-Chu-Kang-Singapore.jpg,467A Fernvale Link,https://www.propertyguru.com.sg/listing/hdb-for-sale-467a-fernvale-link-60237922,1-room,142,60237922,https://www.propertyguru.com.sg/listing/hdb-for-sale-467a-fernvale-link-60237922,"467A Fernvale Link HDB Flat For Sale at S$ 398,888 | PropertyGuru Singapore",active_listing
408B Northshore Drive,1,1,Built: 2021,38,500046764,FALSE,FALSE,1,1,409 sqft,HDB Flat,99-year Leasehold,Built: 2021,3 min (250 m) from PW4 Samudera LRT Station,11 Mar 2026,428000,"S$ 1,046.45 psf","S$ 1,046.45 psf",For Sale,"S$ 1,046.45 psf","Listed on Mar 11, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500046764/UPHO.158456628.V550/408B-Northshore-Drive-Hougang-Punggol-Sengkang-Singapore.jpg,408B Northshore Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-408b-northshore-drive-500046764,1-room,143,500046764,https://www.propertyguru.com.sg/listing/hdb-for-sale-408b-northshore-drive-500046764,"408B Northshore Drive HDB Flat For Sale at S$ 428,000 | PropertyGuru Singapore",active_listing
624C Punggol Central,1,1,Built: 2014,46,500071492,FALSE,FALSE,1,1,495 sqft,HDB Flat,99-year Leasehold,Built: 2014,3 min (290 m) from PE6 Oasis LRT Station,11 Mar 2026,398000,S$ 804.04 psf,S$ 804.04 psf,For Sale,S$ 804.04 psf,"Listed on Mar 11, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500071492/UPHO.158870767.V550/624C-Punggol-Central-Hougang-Punggol-Sengkang-Singapore.jpg,624C Punggol Central,https://www.propertyguru.com.sg/listing/hdb-for-sale-624c-punggol-central-500071492,1-room,144,500071492,https://www.propertyguru.com.sg/listing/hdb-for-sale-624c-punggol-central-500071492,"624C Punggol Central HDB Flat For Sale at S$ 398,000 | PropertyGuru Singapore",active_listing
405B Northshore Drive,1,1,NA,47,500072394,FALSE,FALSE,1,1,505 sqft,HDB Flat,99-year Leasehold,NA,1 min (60 m) from PW4 Samudera LRT Station,11 Mar 2026,430000,S$ 851.49 psf,S$ 851.49 psf,For Sale,S$ 851.49 psf,"Listed on Mar 11, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500072394/UPHO.158908161.V550/405B-Northshore-Drive-Hougang-Punggol-Sengkang-Singapore.jpg,405B Northshore Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-405b-northshore-drive-500072394,1-room,145,500072394,https://www.propertyguru.com.sg/property-for-sale/at-405b-northshore-drive-24548,405B Northshore Drive for Sale in Singapore,active_listing
560A Jurong West Street 42,1,1,Built: 2017,47,500028307,FALSE,FALSE,1,1,506 sqft,HDB Flat,99-year Leasehold,Built: 2017,18 min (1.53 km) from EW26 Lakeside MRT Station,11 Mar 2026,418000,S$ 826.09 psf,S$ 826.09 psf,For Sale,S$ 826.09 psf,"Listed on Mar 11, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500028307/UPHO.158080077.V550/560A-Spring-Haven-Jurong-Boon-Lay-Jurong-Tuas-Singapore.jpg,560A Spring Haven @ Jurong,https://www.propertyguru.com.sg/listing/hdb-for-sale-560a-spring-haven-jurong-500028307,1-room,146,500028307,https://www.propertyguru.com.sg/listing/hdb-for-sale-560a-spring-haven-jurong-500028307,"560A Jurong West Street 42 HDB Flat For Sale at S$ 418,000 | PropertyGuru Singapore",active_listing
438C Bukit Batok West Avenue 8,1,1,Built: 2019,38,60227683,FALSE,FALSE,1,1,409 sqft,HDB Flat,99-year Leasehold,Built: 2019,14 min (1.19 km) from JE2 Tengah Park MRT Station,11 Mar 2026,360000,S$ 880.20 psf,S$ 880.20 psf,For Sale,S$ 880.20 psf,"Listed on Mar 11, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/60227683/UPHO.158279387.V550/438C-Bukit-Batok-West-Avenue-8-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,438C Bukit Batok West Avenue 8,https://www.propertyguru.com.sg/listing/hdb-for-sale-438c-bukit-batok-west-avenue-8-60227683,1-room,147,60227683,https://www.propertyguru.com.sg/listing/hdb-for-sale-438c-bukit-batok-west-avenue-8-60227683,"438C Bukit Batok West Avenue 8 HDB Flat For Sale at S$ 360,000 | PropertyGuru Singapore",active_listing
421B Northshore Drive,1,1,Built: 2021,47,500073728,FALSE,FALSE,1,1,506 sqft,HDB Flat,99-year Leasehold,Built: 2021,6 min (480 m) from PW3 Punggol Point LRT Station,10 Mar 2026,500000,S$ 988.14 psf,S$ 988.14 psf,For Sale,S$ 988.14 psf,"Listed on Mar 10, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500073728/UPHO.158865682.V550/421B-Northshore-Drive-Serangoon-Thomson-D19-20-Singapore.jpg,421B Northshore Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-421b-northshore-drive-500073728,1-room,148,500073728,https://www.propertyguru.com.sg/listing/hdb-for-sale-421b-northshore-drive-500073728,"421B Northshore Drive HDB Flat For Sale at S$ 500,000 | PropertyGuru Singapore",active_listing
443 Ang Mo Kio Avenue 10,2,1,Built: 1979,67,500064715,FALSE,FALSE,1,2,721 sqft,HDB Flat,99-year Leasehold,Built: 1979,11 min (950 m) from NS16 Ang Mo Kio MRT Station,10 Mar 2026,480000,S$ 665.74 psf,S$ 665.74 psf,For Sale,S$ 665.74 psf,"Listed on Mar 10, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500064715/UPHO.158730346.V550/443-Ang-Mo-Kio-Avenue-10-Ang-Mo-Kio-Bishan-Thomson-Singapore.jpg,443 Ang Mo Kio Avenue 10,https://www.propertyguru.com.sg/listing/hdb-for-sale-443-ang-mo-kio-avenue-10-500064715,1-room,149,500064715,https://www.propertyguru.com.sg/listing/hdb-for-sale-443-ang-mo-kio-avenue-10-500064715,"443 Ang Mo Kio Avenue 10 HDB Flat For Sale at S$ 480,000 | PropertyGuru Singapore",active_listing
150A Corporation Drive,1,1,Built: 2018,51,500053013,FALSE,FALSE,1,1,554 sqft,HDB Flat,99-year Leasehold,Built: 2018,NA,10 Mar 2026,365000,S$ 658.84 psf,S$ 658.84 psf,For Sale,S$ 658.84 psf,"Listed on Mar 10, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500053013/UPHO.158551113.V550/150A-Corporation-Drive-Boon-Lay-Jurong-Tuas-Singapore.jpg,150A Corporation Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-150a-corporation-drive-500053013,1-room,150,500053013,https://www.propertyguru.com.sg/listing/hdb-for-sale-150a-corporation-drive-500053013,"150A Corporation Drive HDB Flat For Sale at S$ 365,000 | PropertyGuru Singapore",active_listing
464B Bukit Batok West Avenue 8,1,1,Built: 2020,47,500076005,FALSE,FALSE,1,1,506 sqft,HDB Flat,99-year Leasehold,Built: 2020,16 min (1.3 km) from JE2 Tengah Park MRT Station,10 Mar 2026,438000,S$ 865.61 psf,S$ 865.61 psf,For Sale,S$ 865.61 psf,"Listed on Mar 10, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500076005/UPHO.158901808.V550/464B-Bukit-Batok-West-Avenue-8-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,464B Bukit Batok West Avenue 8,https://www.propertyguru.com.sg/listing/hdb-for-sale-464b-bukit-batok-west-avenue-8-500076005,1-room,151,500076005,https://www.propertyguru.com.sg/listing/hdb-for-sale-464b-bukit-batok-west-avenue-8-500076005,"464B Bukit Batok West Avenue 8 HDB Flat For Sale at S$ 428,000 | PropertyGuru Singapore",active_listing
405B Northshore Drive,1,1,NA,47,500076018,FALSE,FALSE,1,1,506 sqft,HDB Flat,99-year Leasehold,NA,1 min (60 m) from PW4 Samudera LRT Station,10 Mar 2026,420000,S$ 830.04 psf,S$ 830.04 psf,For Sale,S$ 830.04 psf,"Listed on Mar 10, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500076018/UPHO.158901995.V550/405B-Northshore-Drive-Hougang-Punggol-Sengkang-Singapore.jpg,405B Northshore Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-405b-northshore-drive-500076018,1-room,152,500076018,https://www.propertyguru.com.sg/listing/hdb-for-sale-405b-northshore-drive-500076018,"405B Northshore Drive HDB Flat For Sale at S$ 410,000 | PropertyGuru Singapore",active_listing
366A Sembawang Crescent,1,1,Built: 2018,48,60009960,FALSE,FALSE,1,1,517 sqft,HDB Flat,99-year Leasehold,Built: 2018,14 min (1.14 km) from NS11 Sembawang MRT Station,10 Mar 2026,350000,S$ 676.98 psf,S$ 676.98 psf,For Sale,S$ 676.98 psf,"Listed on Mar 10, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/60009960/UPHO.155349954.V550/366A-Sembawang-Crescent-Sembawang-Yishun-Singapore.jpg,366A Sembawang Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-366a-sembawang-crescent-60009960,1-room,153,60009960,https://www.propertyguru.com.sg/listing/hdb-for-sale-366a-sembawang-crescent-60009960,"366A Sembawang Crescent HDB Flat For Sale at S$ 350,000 | PropertyGuru Singapore",active_listing
408A Northshore Drive,1,1,NA,47,60184943,FALSE,FALSE,1,1,505 sqft,HDB Flat,99-year Leasehold,NA,6 min (490 m) from PW4 Samudera LRT Station,10 Mar 2026,499000,S$ 988.12 psf,S$ 988.12 psf,For Sale,S$ 988.12 psf,"Listed on Mar 10, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/60184943/UPHO.158707991.V550/408A-Northshore-Drive-Hougang-Punggol-Sengkang-Singapore.jpg,408A Northshore Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-408a-northshore-drive-60184943,1-room,154,60184943,https://www.propertyguru.com.sg/listing/hdb-for-sale-408a-northshore-drive-60184943,"408A Northshore Drive HDB Flat For Sale at S$ 499,000 | PropertyGuru Singapore",active_listing
408C Northshore Drive,1,1,NA,38,60154941,FALSE,FALSE,1,1,409 sqft,HDB Flat,99-year Leasehold,NA,4 min (300 m) from PW4 Samudera LRT Station,10 Mar 2026,419000,"S$ 1,024.45 psf","S$ 1,024.45 psf",For Sale,"S$ 1,024.45 psf","Listed on Mar 10, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/60154941/UPHO.158541778.V550/408C-Northshore-Drive-Hougang-Punggol-Sengkang-Singapore.jpg,408C Northshore Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-408c-northshore-drive-60154941,1-room,155,60154941,https://www.propertyguru.com.sg/listing/hdb-for-sale-408c-northshore-drive-60154941,"408C Northshore Drive HDB Flat For Sale at S$ 419,000 | PropertyGuru Singapore",active_listing
366B Sembawang Crescent,1,1,Built: 2018,38,500027522,FALSE,FALSE,1,1,409 sqft,HDB Flat,99-year Leasehold,Built: 2018,14 min (1.19 km) from NS11 Sembawang MRT Station,9 Mar 2026,369999,S$ 904.64 psf,S$ 904.64 psf,For Sale,S$ 904.64 psf,"Listed on Mar 09, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500027522/UPHO.158060142.V550/366B-Sembawang-Crescent-Sembawang-Yishun-Singapore.jpg,366B Sembawang Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-366b-sembawang-crescent-500027522,1-room,156,500027522,https://www.propertyguru.com.sg/listing/hdb-for-sale-366b-sembawang-crescent-500027522,"366B Sembawang Crescent HDB Flat For Sale at S$ 369,999 | PropertyGuru Singapore",active_listing
366B Sembawang Crescent,1,1,Built: 2018,38,60217216,FALSE,FALSE,1,1,409 sqft,HDB Flat,99-year Leasehold,Built: 2018,14 min (1.19 km) from NS11 Sembawang MRT Station,9 Mar 2026,369999,S$ 904.64 psf,S$ 904.64 psf,For Sale,S$ 904.64 psf,"Listed on Mar 09, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/60217216/UPHO.158068276.V550/366B-Sembawang-Crescent-Sembawang-Yishun-Singapore.jpg,366B Sembawang Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-366b-sembawang-crescent-60217216,1-room,157,60217216,https://www.propertyguru.com.sg/listing/hdb-for-sale-366b-sembawang-crescent-60217216,"366B Sembawang Crescent HDB Flat For Sale at S$ 369,999 | PropertyGuru Singapore",active_listing
460B Bukit Batok West Avenue 9,1,1,Built: 2019,48,60198612,FALSE,FALSE,1,1,516 sqft,HDB Flat,99-year Leasehold,Built: 2019,11 min (940 m) from JE2 Tengah Park MRT Station,9 Mar 2026,399000,S$ 773.26 psf,S$ 773.26 psf,For Sale,S$ 773.26 psf,"Listed on Mar 09, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/60198612/UPHO.157596564.V550/460B-Bukit-Batok-West-Avenue-9-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,460B Bukit Batok West Avenue 9,https://www.propertyguru.com.sg/listing/hdb-for-sale-460b-bukit-batok-west-avenue-9-60198612,1-room,158,60198612,https://www.propertyguru.com.sg/listing/hdb-for-sale-460b-bukit-batok-west-avenue-9-60198612,"460B Bukit Batok West Avenue 9 HDB Flat For Sale at S$ 399,000 | PropertyGuru Singapore",active_listing
408C Northshore Drive,1,1,NA,38,500055048,FALSE,FALSE,1,1,409 sqft,HDB Flat,99-year Leasehold,NA,4 min (300 m) from PW4 Samudera LRT Station,9 Mar 2026,418888,"S$ 1,024.18 psf","S$ 1,024.18 psf",For Sale,"S$ 1,024.18 psf","Listed on Mar 09, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500055048/UPHO.158581932.V550/408C-Northshore-Drive-Hougang-Punggol-Sengkang-Singapore.jpg,408C Northshore Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-408c-northshore-drive-500055048,1-room,159,500055048,https://www.propertyguru.com.sg/listing/hdb-for-sale-408c-northshore-drive-500055048,"408C Northshore Drive HDB Flat For Sale at S$ 418,888 | PropertyGuru Singapore",active_listing
371 Jurong East Street 32,1,1,Built: 2013,43,60221125,FALSE,FALSE,1,1,462 sqft,HDB Flat,99-year Leasehold,Built: 2013,11 min (880 m) from EW25 Chinese Garden MRT Station,9 Mar 2026,360000,S$ 779.22 psf,S$ 779.22 psf,For Sale,S$ 779.22 psf,"Listed on Mar 09, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/60221125/UPHO.158127893.V550/371-Jurong-East-Street-32-Boon-Lay-Jurong-Tuas-Singapore.jpg,371 Jurong East Street 32,https://www.propertyguru.com.sg/listing/hdb-for-sale-371-jurong-east-street-32-60221125,1-room,160,60221125,https://www.propertyguru.com.sg/listing/hdb-for-sale-371-jurong-east-street-32-60221125,"371 Jurong East Street 32 HDB Flat For Sale at S$ 360,000 | PropertyGuru Singapore",active_listing
32 New Market Road,1,1,Built: 1983,52,500053184,FALSE,FALSE,1,1,560 sqft,HDB Flat,99-year Leasehold,Built: 1983,3 min (220 m) from NE4 Chinatown MRT Station,9 Mar 2026,350000,S$ 625.00 psf,S$ 625.00 psf,For Sale,S$ 625.00 psf,"Listed on Mar 09, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500053184/UPHO.158993581.V550/32-New-Market-Road-Boat-Quay-Raffles-Place-Marina-Singapore.jpg,32 New Market Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-32-new-market-road-500053184,1-room,161,500053184,https://www.propertyguru.com.sg/listing/hdb-for-sale-32-new-market-road-500053184,"32 New Market Road HDB Flat For Sale at S$ 350,000 | PropertyGuru Singapore",active_listing
467B Fernvale Link,1,1,Built: 2015,47,500058509,FALSE,FALSE,1,1,505 sqft,HDB Flat,99-year Leasehold,Built: 2015,5 min (430 m) from SW3 Kupang LRT Station,9 Mar 2026,395000,S$ 782.18 psf,S$ 782.18 psf,For Sale,S$ 782.18 psf,"Listed on Mar 09, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500058509/UPHO.158634777.V550/467B-Fernvale-Link-Seletar-Yio-Chu-Kang-Singapore.jpg,467B Fernvale Link,https://www.propertyguru.com.sg/listing/hdb-for-sale-467b-fernvale-link-500058509,1-room,162,500058509,https://www.propertyguru.com.sg/listing/hdb-for-sale-467b-fernvale-link-500058509,"467B Fernvale Link HDB Flat For Sale at S$ 395,000 | PropertyGuru Singapore",active_listing
671B Yishun Avenue 4,1,1,Built: 2016,47,60196476,FALSE,FALSE,1,1,505 sqft,HDB Flat,99-year Leasehold,Built: 2016,NA,9 Mar 2026,400000,S$ 792.08 psf,S$ 792.08 psf,For Sale,S$ 792.08 psf,"Listed on Mar 09, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/60196476/UPHO.157548094.V550/671B-Yishun-Avenue-4-Sembawang-Yishun-Singapore.jpg,671B Yishun Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-671b-yishun-avenue-4-60196476,1-room,163,60196476,https://www.propertyguru.com.sg/listing/hdb-for-sale-671b-yishun-avenue-4-60196476,"671B Yishun Avenue 4 HDB Flat For Sale at S$ 400,000 | PropertyGuru Singapore",active_listing
408C Northshore Drive,1,1,NA,47,500023845,FALSE,FALSE,1,1,506 sqft,HDB Flat,99-year Leasehold,NA,4 min (300 m) from PW4 Samudera LRT Station,7 Mar 2026,468888,S$ 926.66 psf,S$ 926.66 psf,For Sale,S$ 926.66 psf,"Listed on Mar 07, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500023845/UPHO.157960911.V550/408C-Northshore-Drive-Hougang-Punggol-Sengkang-Singapore.jpg,408C Northshore Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-408c-northshore-drive-500023845,1-room,164,500023845,https://www.propertyguru.com.sg/listing/hdb-for-sale-408c-northshore-drive-500023845,"408C Northshore Drive HDB Flat For Sale at S$ 462,000 | PropertyGuru Singapore",active_listing
10 Pine Close,2,1,Built: 1981,82,500046291,FALSE,FALSE,1,2,882 sqft,HDB Flat,99-year Leasehold,Built: 1981,7 min (550 m) from CC7 Mountbatten MRT Station,7 Mar 2026,639000,S$ 724.49 psf,S$ 724.49 psf,For Sale,S$ 724.49 psf,"Listed on Mar 07, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500046291/UPHO.158586204.V550/10-Pine-Close-Eunos-Geylang-Paya-Lebar-Singapore.jpg,10 Pine Close,https://www.propertyguru.com.sg/listing/hdb-for-sale-10-pine-close-500046291,1-room,165,500046291,https://www.propertyguru.com.sg/property-for-sale/at-10-pine-close-9281,10 Pine Close for Sale in Singapore,active_listing
128B Canberra Street,1,1,Built: 2017,47,500048009,FALSE,FALSE,1,1,506 sqft,HDB Flat,99-year Leasehold,Built: 2017,9 min (730 m) from NS12 Canberra MRT Station,6 Mar 2026,380000,S$ 750.99 psf,S$ 750.99 psf,For Sale,S$ 750.99 psf,"Listed on Mar 06, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500048009/UPHO.158475234.V550/128B-Canberra-Street-Sembawang-Yishun-Singapore.jpg,128B Canberra Street,https://www.propertyguru.com.sg/listing/hdb-for-sale-128b-canberra-street-500048009,1-room,166,500048009,https://www.propertyguru.com.sg/property-for-sale/at-128b-canberra-street-23229,128B Canberra Street for Sale in Singapore,active_listing
116 Ang Mo Kio Avenue 4,1,1,Built: 1977,44,500054446,FALSE,FALSE,1,1,473 sqft,HDB Flat,99-year Leasehold,Built: 1977,2 min (180 m) from TE6 Mayflower MRT Station,6 Mar 2026,328888,S$ 695.32 psf,S$ 695.32 psf,For Sale,S$ 695.32 psf,"Listed on Mar 06, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500054446/UPHO.158572160.V550/116-Ang-Mo-Kio-Avenue-4-Ang-Mo-Kio-Bishan-Thomson-Singapore.jpg,116 Ang Mo Kio Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-116-ang-mo-kio-avenue-4-500054446,1-room,167,500054446,https://www.propertyguru.com.sg/listing/hdb-for-sale-116-ang-mo-kio-avenue-4-500054446,"116 Ang Mo Kio Avenue 4 HDB Flat For Sale at S$ 328,888 | PropertyGuru Singapore",active_listing
527D Pasir Ris Street 51,1,1,Built: 2014,47,500071687,FALSE,FALSE,1,1,506 sqft,HDB Flat,99-year Leasehold,Built: 2014,6 min (530 m) from CP1 Pasir Ris MRT Station,6 Mar 2026,450000,S$ 889.33 psf,S$ 889.33 psf,For Sale,S$ 889.33 psf,"Listed on Mar 06, 2026 (1w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500071687/UPHO.158835231.V550/527D-Costa-Ris-Pasir-Ris-Tampines-Singapore.jpg,527D Costa Ris,https://www.propertyguru.com.sg/listing/hdb-for-sale-527d-costa-ris-500071687,1-room,168,500071687,https://www.propertyguru.com.sg/listing/hdb-for-sale-527d-costa-ris-500071687,"527D Pasir Ris Street 51 HDB Flat For Sale at S$ 450,000 | PropertyGuru Singapore",active_listing
990C Jurong West Street 93,1,1,Built: 2001,52,500054690,FALSE,FALSE,1,1,560 sqft,HDB Flat,99-year Leasehold,Built: 2001,7 min (590 m) from EW28 Pioneer MRT Station,5 Mar 2026,355000,S$ 633.93 psf,S$ 633.93 psf,For Sale,S$ 633.93 psf,"Listed on Mar 05, 2026 (2w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500054690/UPHO.158576191.V550/990C-Jurong-West-Street-93-Boon-Lay-Jurong-Tuas-Singapore.jpg,990C Jurong West Street 93,https://www.propertyguru.com.sg/listing/hdb-for-sale-990c-jurong-west-street-93-500054690,1-room,170,500054690,https://www.propertyguru.com.sg/property-for-sale/at-990c-jurong-west-street-93-8004,990C Jurong West Street 93 for Sale in Singapore,active_listing
226E Ang Mo Kio Avenue 1,1,-1,Built: 1976,130,24259385,FALSE,FALSE,Studio,1,"1,400 sqft",HDB Flat,99-year Leasehold,Built: 1976,12 min (1.04 km) from TE6 Mayflower MRT Station,5 Mar 2026,2250000,"S$ 1,607.14 psf","S$ 1,607.14 psf",For Sale,"S$ 1,607.14 psf","Listed on Mar 05, 2026 (2w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/24259385/UPHO.156285309.V550/226E-Ang-Mo-Kio-Avenue-1-Ang-Mo-Kio-Bishan-Thomson-Singapore.jpg,226E Ang Mo Kio Avenue 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-226e-ang-mo-kio-avenue-1-24259385,1-room,171,24259385,https://www.propertyguru.com.sg/listing/hdb-for-sale-226e-ang-mo-kio-avenue-1-24259385,"226E Ang Mo Kio Avenue 1 HDB Flat For Sale at S$ 2,250,000 | PropertyGuru Singapore",active_listing
535 Bedok North Street 3,1,1,Built: 1986,45,60204473,FALSE,FALSE,1,1,484 sqft,HDB Flat,99-year Leasehold,Built: 1986,20 min (1.69 km) from DT29 Bedok North MRT Station,5 Mar 2026,355000,S$ 733.47 psf,S$ 733.47 psf,For Sale,S$ 733.47 psf,"Listed on Mar 05, 2026 (2w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/60204473/UPHO.157735719.V550/535-Bedok-North-Street-3-Bedok-Upper-East-Coast-Singapore.jpg,535 Bedok North Street 3,https://www.propertyguru.com.sg/listing/hdb-for-sale-535-bedok-north-street-3-60204473,1-room,172,60204473,https://www.propertyguru.com.sg/listing/hdb-for-sale-535-bedok-north-street-3-60204473,"535 Bedok North Street 3 HDB Flat For Sale at S$ 355,000 | PropertyGuru Singapore",active_listing
45 Telok Blangah Drive,1,1,Built: 1976,45,60103118,FALSE,FALSE,1,1,484 sqft,HDB Flat,99-year Leasehold,Built: 1976,2 min (170 m) from CC28 Telok Blangah MRT Station,5 Mar 2026,330000,S$ 681.82 psf,S$ 681.82 psf,For Sale,S$ 681.82 psf,"Listed on Mar 05, 2026 (2w ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/60103118/UPHO.156396066.V550/45-Telok-Blangah-Drive-Harbourfront-Telok-Blangah-Singapore.jpg,45 Telok Blangah Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-45-telok-blangah-drive-60103118,1-room,173,60103118,https://www.propertyguru.com.sg/property-for-sale/at-45-telok-blangah-drive-11415,45 Telok Blangah Drive for Sale in Singapore,active_listing
