name,lat,lng,full_address,block,street,postal_code,lic_no
ONE EIGHT SHOP PTE. LTD.,1.336584653,103.7376233,"104 JURONG EAST STREET 13, Singapore 600104",104,JURONG EAST STREET 13,600104,C02051P000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.358317047,103.7495799,"376 BUKIT BATOK STREET 31, Singapore 650376",376,BUKIT BATOK STREET 31,650376,J02021A000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.333066482,103.9310914,"509 BEDOK NORTH STREET 3, Singapore 460509",509,BEDOK NORTH STREET 3,460509,E02033X000
HAO MART PTE. LTD.,1.35998567,103.9582477,"487B TAMPINES STREET 45, Singapore 521487",487B,TAMPINES STREET 45,521487,NE16875P000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.430618285,103.828763,"102 YISHUN AVENUE 5, Singapore 760102",102,YISHUN AVENUE 5,760102,NW04014P000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.277795394,103.8193413,"8 TELOK BLANGAH CRESCENT, Singapore 90008",8,TELOK BLANGAH CRESCENT,90008,W74072X000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.310081186,103.7885329,"21 GHIM MOH ROAD, Singapore 270021",21,GHIM MOH ROAD,270021,C79031J000
PRIME SUPERMARKET LIMITED,1.348575367,103.7427086,"159 BUKIT BATOK STREET 11, Singapore 650159",159,BUKIT BATOK STREET 11,650159,SW04097K000
SHENG SIONG SUPERMARKET PTE LTD,1.416018798,103.8350008,"845 YISHUN STREET 81, Singapore 760845",845,YISHUN STREET 81,760845,B02008E000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.329872197,103.9019297,"306 UBI AVENUE 1, Singapore 400306",306,UBI AVENUE 1,400306,E02030B000
ANG MO SUPERMARKET PTE LTD,1.371703425,103.879939,"642 HOUGANG AVENUE 8, Singapore 530642",642,HOUGANG AVENUE 8,530642,S93171X000
