,address,floor_area_sqm,asking_price,lat,lon,postal,full_address,town,lease_commence_date,remaining_lease,flat_type,storey_midpoint,storey_imputed,mall_1_name,mall_1_dist_m,mall_2_name,mall_2_dist_m,mall_3_name,mall_3_dist_m,school_1_name,school_1_dist_m,school_2_name,school_2_dist_m,school_3_name,school_3_dist_m,hawker_1_name,hawker_1_dist_m,hawker_2_name,hawker_2_dist_m,hawker_3_name,hawker_3_dist_m,polyclinic_1_name,polyclinic_1_dist_m,polyclinic_2_name,polyclinic_2_dist_m,polyclinic_3_name,polyclinic_3_dist_m,supermarket_1_name,supermarket_1_dist_m,supermarket_2_name,supermarket_2_dist_m,supermarket_3_name,supermarket_3_dist_m,train_1_name,train_1_dist_m,train_2_name,train_2_dist_m,train_3_name,train_3_dist_m,bus_1_name,bus_1_dist_m,bus_2_name,bus_2_dist_m,bus_3_name,bus_3_dist_m,num_mrt_within_1km,flag_mrt_within_500m,num_primary_schools_within_1km,num_hawkers_within_500m,num_bus_within_400m,dist_cbd,month_index,median_6m_similar,predicted_price,valuation_pct
97,676A Yishun Ring Road,47,420000.0,1.42145242328288,103.84332790779,761676,676A YISHUN RING ROAD PARK GROVE @ YISHUN SINGAPORE 761676,YISHUN,2017,90,1 ROOM,8.0,True,GV Yishun,1211,Northpoint City,1243,Canberra Plaza,2844,NORTHBROOKS SECONDARY SCHOOL,214,NORTHLAND PRIMARY SCHOOL,282,HUAMIN PRIMARY SCHOOL,622,Yishun Park Hawker Centre,424,Chong Pang Hawker Centre & Market,1904,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),1985,Khatib Polyclinic,702,Yishun Polyclinic,1092,Sembawang Polyclinic,2014,SHENG SIONG SUPERMARKET PTE LTD,146,NTUC FAIRPRICE CO-OPERATIVE LTD,449,NTUC FAIRPRICE CO-OPERATIVE LTD,499,Khatib,1236,Yishun,1283,Canberra,2842,59571,60,59579,154,59289,212,0,0,4,1,11,15347.307147561769,110,,431451.0,-2.65
98,327C Sumang Walk,37,395000.0,1.41206930290767,103.899974279726,823327,327C SUMANG WALK PUNGGOL VUE SINGAPORE 823327,PUNGGOL,2018,91,1 ROOM,8.0,True,Northshore Plaza I,572,Waterway Point,655,Northshore Plaza II,672,PUNGGOL COVE PRIMARY SCHOOL,131,VALOUR PRIMARY SCHOOL,532,YUSOF ISHAK SECONDARY SCHOOL,703,One Punggol Hawker Centre,686,Punggol Coast Hawker Centre,991,Anchorvale Village Hawker Centre,2128,Punggol Polyclinic,1787,Sengkang Polyclinic,2248,Hougang Polyclinic,4844,SHENG SIONG SUPERMARKET PTE LTD,146,D-RON INVESTMENTS PTE. LTD.,695,GW TRADER PTE. LTD.,799,Nibong,47,Sumang,432,Samudera,490,65619,54,65611,93,65671,161,8,1,4,0,9,15432.13854301018,110,,436860.0,-9.58
99,9 Jalan Kukoh,55,360000.0,1.2876742577682,103.838857901085,160009,9 JALAN KUKOH CHIN SWEE VIEW SINGAPORE 160009,OUTRAM,1982,55,1 ROOM,8.0,True,People's Park Complex,566,The Majestic,584,People's Park Centre,608,OUTRAM SECONDARY SCHOOL,232,RIVER VALLEY PRIMARY SCHOOL,790,CANTONMENT PRIMARY SCHOOL,1362,Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),135,New Market Road Blk 32 (People's Park Food Centre),519,Smith Street Blk 335 (Chinatown Complex Market),773,Outram Polyclinic,899,Bukit Merah Polyclinic,2473,Queenstown Polyclinic,4381,SHENG SIONG SUPERMARKET PTE LTD,310,FOODIE MARKET PLACE PTE. LTD.,609,COLD STORAGE SINGAPORE (1983) PTE LTD,655,Havelock,593,Outram Park,706,Chinatown,797,6039,120,6031,179,6161,194,10,0,1,1,6,1087.0280133329381,110,,440131.0,-18.21
100,447A Jalan Kayu,48,378888.0,1.3921382852483,103.872490556246,791447,447A JALAN KAYU FERNVALE LODGE SINGAPORE 791447,SENGKANG,2012,85,1 ROOM,8.0,True,The Seletar Mall,411,Seletar Mall,411,Anchorvale Village,1847,SENGKANG GREEN PRIMARY SCHOOL,281,FERNVALE PRIMARY SCHOOL,298,PEI HWA SECONDARY SCHOOL,692,Fernvale Hawker Centre & Market,508,Anchorvale Village Hawker Centre,1847,Ci Yuan Hawker Centre,2201,Sengkang Polyclinic,2382,Hougang Polyclinic,3079,Ang Mo Kio Polyclinic,3579,NTUC FAIRPRICE CO-OPERATIVE LTD,0,NTUC FAIRPRICE CO-OPERATIVE LTD,406,LABIBA ENTERPRISE PTE. LTD.,495,Fernvale,425,Thanggam,674,Layar,838,68029,103,68021,128,68019,248,3,1,2,0,18,12390.385123219334,110,,435943.0,-13.09
101,323 Ang Mo Kio Avenue 3,48,380000.0,1.36790849360635,103.84771408812,560323,323 ANG MO KIO AVENUE 3 ANG MO KIO 31 SINGAPORE 560323,ANG MO KIO,1976,49,1 ROOM,8.0,True,AMK Hub,185,Junction 8,1941,Thomson Plaza,2378,TECK GHEE PRIMARY SCHOOL,444,DEYI SECONDARY SCHOOL,578,ANG MO KIO SECONDARY SCHOOL,621,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),427,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),493,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),859,Ang Mo Kio Polyclinic,748,Toa Payoh Polyclinic,3921,Hougang Polyclinic,4595,NTUC FAIRPRICE CO-OPERATIVE LTD,167,COLD STORAGE SINGAPORE (1983) PTE LTD,365,NTUC FAIRPRICE CO-OPERATIVE LTD,396,Ang Mo Kio,304,Mayflower,1301,Yio Chu Kang,1570,54247,114,54248,165,54241,206,1,1,3,2,10,9385.796385395663,110,,404567.0,-6.07
102,456A Sengkang West Road,38,368888.0,1.39165965999065,103.869882501471,791456,456A SENGKANG WEST ROAD FERNVALE WOODS SINGAPORE 791456,SENGKANG,2019,92,1 ROOM,8.0,True,The Seletar Mall,694,Seletar Mall,694,Hougang 1,2069,FERNVALE PRIMARY SCHOOL,529,SENGKANG GREEN PRIMARY SCHOOL,576,PEI HWA SECONDARY SCHOOL,964,Fernvale Hawker Centre & Market,796,Anchorvale Village Hawker Centre,2140,Ci Yuan Hawker Centre,2325,Sengkang Polyclinic,2673,Hougang Polyclinic,3220,Ang Mo Kio Polyclinic,3310,NTUC FAIRPRICE CO-OPERATIVE LTD,295,COLD STORAGE SINGAPORE (1983) PTE LTD,481,LABIBA ENTERPRISE PTE. LTD.,638,Fernvale,715,Thanggam,897,Layar,1129,68011,54,68019,104,67091,169,2,0,2,0,10,12277.001159205282,110,,426661.0,-13.54
103,418 Clementi Avenue 1,49,445000.0,1.31017571904177,103.77000324485,120418,418 CLEMENTI AVENUE 1 CASA CLEMENTI SINGAPORE 120418,CLEMENTI,2011,84,1 ROOM,8.0,True,The Clementi Mall,813,Clementi Mall,813,West Coast Plaza,862,NAN HUA HIGH SCHOOL,281,NEW TOWN SECONDARY SCHOOL,357,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,464,Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),475,Clementi Ave 3 Blk 448,703,Clementi West Street 2 Blk 726,954,Clementi Polyclinic,565,Queenstown Polyclinic,3679,Bukit Batok Polyclinic,5265,SHENG SIONG SUPERMARKET PTE LTD,160,NTUC FAIRPRICE CO-OPERATIVE LTD,480,SHENG SIONG SUPERMARKET PTE LTD,480,Clementi,767,Dover,970,Pasir Ris,1294,17151,177,17159,207,16891,207,2,0,2,1,9,9132.405889573403,110,,525269.0,-15.28
104,23 Teban Gardens Road,47,370000.0,1.32285773181424,103.73923873397,600023,23 TEBAN GARDENS ROAD TEBAN VISTA SINGAPORE 600023,JURONG EAST,2012,85,1 ROOM,8.0,True,Jem,1244,Westgate,1316,IMM,1584,COMMONWEALTH SECONDARY SCHOOL,819,FUHUA PRIMARY SCHOOL,1567,JURONG SECONDARY SCHOOL,1877,Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),451,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),2300,Taman Jurong Market and Food Centre,2365,Jurong Polyclinic,3134,Clementi Polyclinic,3137,Bukit Batok Polyclinic,3380,SHENG SIONG SUPERMARKET PTE LTD,132,NTUC FAIRPRICE CO-OPERATIVE LTD,460,VINAYAK TRADERS PTE. LTD.,813,Jurong East,1183,Chinese Garden,2290,Clementi,3011,20239,45,20231,75,20219,266,0,0,0,1,11,12826.898532211286,110,,403552.0,-8.31
105,115A Canberra Walk,38,420000.0,1.44662215217976,103.829140768756,751115,115A CANBERRA WALK EASTLACE @ CANBERRA SINGAPORE 751115,SEMBAWANG,2017,90,1 ROOM,8.0,True,Canberra Plaza,373,Sembawang Shopping Centre,716,Sun Plaza,1086,SEMBAWANG PRIMARY SCHOOL,893,WELLINGTON PRIMARY SCHOOL,927,AHMAD IBRAHIM SECONDARY SCHOOL,1176,Bukit Canberra Hawker Centre,732,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),1689,Chong Pang Hawker Centre & Market,1753,Yishun Polyclinic,2126,Sembawang Polyclinic,2219,Khatib Polyclinic,2723,SHENG SIONG SUPERMARKET PTE LTD,439,COLD STORAGE SINGAPORE (1983) PTE LTD,747,HAO MART PTE. LTD.,838,Canberra,399,Sembawang,1046,Yishun,2018,58611,96,58619,110,58269,178,1,1,2,0,11,18255.310336386614,110,,430650.0,-2.47
106,990C Jurong West Street 93,52,355000.0,1.33559727850344,103.69448630919,643990,990C JURONG WEST STREET 93 SINGAPORE 643990,JURONG WEST,2001,74,1 ROOM,8.0,True,Pioneer Mall,741,Jurong Point,1422,Gek Poh Shopping Centre,1506,FRONTIER PRIMARY SCHOOL,587,JURONG WEST PRIMARY SCHOOL,623,JURONG WEST SECONDARY SCHOOL,847,Jurong West Hawker Centre,701,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),2300,Taman Jurong Market and Food Centre,3014,Pioneer Polyclinic,602,Jurong Polyclinic,4323,Bukit Batok Polyclinic,6204,KADER HASNA MARICAN,285,CHD @ SOON LEE PTE. LTD.,639,COLD STORAGE SINGAPORE (1983) PTE LTD,724,Pioneer,385,Boon Lay,1330,Joo Koon,1994,27529,85,27521,141,22471,155,1,1,2,0,13,17990.328551450675,110,,373318.0,-4.91
107,323 Ang Mo Kio Avenue 3,48,380000.0,1.36790849360635,103.84771408812,560323,323 ANG MO KIO AVENUE 3 ANG MO KIO 31 SINGAPORE 560323,ANG MO KIO,1976,49,1 ROOM,8.0,True,AMK Hub,185,Junction 8,1941,Thomson Plaza,2378,TECK GHEE PRIMARY SCHOOL,444,DEYI SECONDARY SCHOOL,578,ANG MO KIO SECONDARY SCHOOL,621,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),427,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),493,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),859,Ang Mo Kio Polyclinic,748,Toa Payoh Polyclinic,3921,Hougang Polyclinic,4595,NTUC FAIRPRICE CO-OPERATIVE LTD,167,COLD STORAGE SINGAPORE (1983) PTE LTD,365,NTUC FAIRPRICE CO-OPERATIVE LTD,396,Ang Mo Kio,304,Mayflower,1301,Yio Chu Kang,1570,54247,114,54248,165,54241,206,1,1,3,2,10,9385.796385395663,110,,404567.0,-6.07
108,103A Canberra Street,47,400000.0,1.45103006132424,103.830534008712,751103,103A CANBERRA STREET EASTCREEK @ CANBERRA SINGAPORE 751103,SEMBAWANG,2020,93,1 ROOM,8.0,True,Canberra Plaza,838,Sembawang Shopping Centre,1203,Sun Plaza,1266,WELLINGTON PRIMARY SCHOOL,894,SEMBAWANG PRIMARY SCHOOL,1197,ENDEAVOUR PRIMARY SCHOOL,1518,Bukit Canberra Hawker Centre,917,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),2189,Chong Pang Hawker Centre & Market,2250,Yishun Polyclinic,2492,Sembawang Polyclinic,2728,Khatib Polyclinic,3148,SHENG SIONG SUPERMARKET PTE LTD,317,BANGLADESH SUPER MARKET PTE. LTD.,347,HAO MART PTE. LTD.,893,Canberra,889,Sembawang,1186,Yishun,2451,58069,126,58519,152,58511,192,1,0,1,0,11,18725.973333236263,110,,437096.0,-8.49
109,222A Sumang Lane,37,388000.0,1.40112566398084,103.893476425427,821222,222A SUMANG LANE MATILDA EDGE SINGAPORE 821222,PUNGGOL,2017,90,1 ROOM,8.0,True,Anchorvale Village,739,Compass One,1024,Waterway Point,1121,PUNGGOL GREEN PRIMARY SCHOOL,595,YUSOF ISHAK SECONDARY SCHOOL,717,SPRINGDALE PRIMARY SCHOOL,791,Anchorvale Village Hawker Centre,739,One Punggol Hawker Centre,1552,Buangkok Hawker Centre,2019,Sengkang Polyclinic,929,Punggol Polyclinic,2172,Hougang Polyclinic,3507,U STARS SUPERMARKET PTE. LTD.,316,SHENG SIONG SUPERMARKET PTE LTD,474,U STARS SUPERMARKET PTE. LTD.,605,Cheng Lim,540,Soo Teck,631,Farmway,639,65539,122,65531,143,65551,295,4,0,4,0,12,14034.424089184005,110,,417901.0,-7.16
110,467C Bukit Batok West Avenue 9,47,390000.0,1.35592238075355,103.742551675133,653467,467C BUKIT BATOK WEST AVENUE 9 WEST PLAINS @ BUKIT BATOK SINGAPORE 653467,BUKIT BATOK,2021,94,1 ROOM,8.0,True,Le Quest,158,Parc Point,671,Plantation Plaza,950,MILLENNIA INSTITUTE,632,DAZHONG PRIMARY SCHOOL,751,PRINCESS ELIZABETH PRIMARY SCHOOL,776,Bukit Batok West Hawker Centre,75,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1483,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1679,Bukit Batok Polyclinic,729,Jurong Polyclinic,1485,Choa Chu Kang Polyclinic,3077,SHENG SIONG SUPERMARKET PTE LTD,356,SHENG SIONG SUPERMARKET PTE LTD,362,PRIME SUPERMARKET LIMITED,817,Bukit Gombak,1070,Bukit Batok,1093,Chinese Garden,1871,40359,194,40379,203,40351,206,0,0,2,1,11,14194.37335085056,110,,467999.0,-16.67
111,314 Ang Mo Kio Avenue 3,44,350000.0,1.36622707120636,103.850085858983,560314,314 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560314,ANG MO KIO,1978,51,1 ROOM,8.0,True,AMK Hub,394,Junction 8,1757,Thomson Plaza,2488,TECK GHEE PRIMARY SCHOOL,121,DEYI SECONDARY SCHOOL,275,JING SHAN PRIMARY SCHOOL,665,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),312,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),702,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),733,Ang Mo Kio Polyclinic,1025,Toa Payoh Polyclinic,3664,Hougang Polyclinic,4345,COLD STORAGE SINGAPORE (1983) PTE LTD,322,G8 MART PTE. LTD.,334,NTUC FAIRPRICE CO-OPERATIVE LTD,385,Ang Mo Kio,416,Mayflower,1612,Bishan,1661,54331,123,54339,185,54329,333,1,1,3,1,7,9202.653350545947,110,,400085.0,-12.52
112,675C Yishun Avenue 4,47,375000.0,1.41942806754236,103.84218131825,763675,675C YISHUN AVENUE 4 FERN GROVE @ YISHUN SINGAPORE 763675,YISHUN,2020,93,1 ROOM,8.0,True,GV Yishun,1328,Northpoint City,1346,Canberra Plaza,2982,NORTHLAND PRIMARY SCHOOL,259,NORTHBROOKS SECONDARY SCHOOL,364,NAVAL BASE PRIMARY SCHOOL,521,Yishun Park Hawker Centre,681,Chong Pang Hawker Centre & Market,1938,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),2022,Khatib Polyclinic,704,Yishun Polyclinic,1260,Sembawang Polyclinic,1976,SHENG SIONG SUPERMARKET PTE LTD,173,NTUC FAIRPRICE CO-OPERATIVE LTD,190,U STARS PTE. LTD.,540,Khatib,1048,Yishun,1370,Canberra,2973,59299,142,59711,148,59761,160,0,0,3,0,9,15126.956528538021,110,,441423.0,-15.05
113,127A Kim Tian Road,48,498000.0,1.28196243466081,103.829559141133,161127,127A KIM TIAN ROAD KIM TIAN GREEN SINGAPORE 161127,BUKIT MERAH,2013,86,1 ROOM,5.0,True,Tiong Bahru Plaza,574,Great World City,1303,Great World,1303,ZHANGDE PRIMARY SCHOOL,473,CHIJ (KELLOCK),787,OUTRAM SECONDARY SCHOOL,982,Tiong Bahru Market,428,Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),450,Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),668,Outram Polyclinic,1011,Bukit Merah Polyclinic,1419,Queenstown Polyclinic,3672,NTUC FAIRPRICE CO-OPERATIVE LTD,318,COLD STORAGE SINGAPORE (1983) PTE LTD,447,HAO MART PTE. LTD.,478,Tiong Bahru,517,Havelock,854,Outram Park,1067,10121,102,10129,110,10079,322,2,0,3,2,6,2023.9002441357147,110,271944.0,612225.0,-18.66
114,292A Bukit Batok East Avenue 6,47,385000.0,1.34472844593551,103.754607613565,651292,292A BUKIT BATOK EAST AVENUE 6 SKYPEAK @ BUKIT BATOK SINGAPORE 651292,BUKIT BATOK,2017,90,1 ROOM,8.0,True,West Mall,838,IMM,1391,Westgate,1765,BUKIT VIEW PRIMARY SCHOOL,164,KEMING PRIMARY SCHOOL,223,BUKIT VIEW SECONDARY SCHOOL,287,Bukit Batok West Hawker Centre,1833,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1880,Bukit Timah Interim Hawker Centre and Market,2332,Bukit Batok Polyclinic,1107,Jurong Polyclinic,2713,Clementi Polyclinic,3784,COLD STORAGE SINGAPORE (1983) PTE LTD,369,NTUC FAIRPRICE CO-OPERATIVE LTD,427,NTUC FAIRPRICE CO-OPERATIVE LTD,735,Bukit Batok,737,Bukit Gombak,1575,Jurong East,1882,43501,113,43509,141,43141,156,1,0,2,0,13,12387.412370694943,110,,477117.0,-19.31
115,96 Aljunied Crescent,55,368000.0,1.32165649786917,103.885423356978,380096,96 ALJUNIED CRESCENT SINGAPORE 380096,GEYLANG,1974,47,1 ROOM,8.0,True,Paya Lebar Square,856,Lot 1,948,Paya Lebar Quarter,991,GEYLANG METHODIST SCHOOL (PRIMARY),439,CANOSSA CATHOLIC PRIMARY SCHOOL,659,BROADRICK SECONDARY SCHOOL,1633,Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),210,Circuit Road Blk 89,214,Circuit Road Blk 79/79A,551,Geylang Polyclinic,309,Kallang Polyclinic,1744,Eunos Polyclinic,1924,NTUC FAIRPRICE CO-OPERATIVE LTD,139,COLD STORAGE SINGAPORE (1983) PTE LTD,284,NTUC FAIRPRICE CO-OPERATIVE LTD,767,Mattar,629,Aljunied,645,MacPherson,739,70211,273,81211,317,81219,349,6,0,2,2,4,5965.51668652202,110,,387903.0,-5.13
116,82 Commonwealth Close,46,320000.0,1.30422050058916,103.800400186159,140082,82 COMMONWEALTH CLOSE COMMONWEALTH HEIGHTS SINGAPORE 140082,QUEENSTOWN,1964,37,1 ROOM,8.0,True,Holland Road Shopping Centre,875,ONE HOLLAND VILLAGE,1044,Rochester Mall,1335,QUEENSWAY SECONDARY SCHOOL,488,NEW TOWN PRIMARY SCHOOL,493,QUEENSTOWN PRIMARY SCHOOL,1258,Commonwealth Crescent Market,298,Tanglin Halt Market,505,Tanglin Halt Hawker Centre & Market,572,Queenstown Polyclinic,642,Bukit Merah Polyclinic,2915,Clementi Polyclinic,3990,SHENG SIONG SUPERMARKET PTE LTD,359,TASTE (SINGAPORE) PRIVATE LIMITED,849,COLD STORAGE SINGAPORE (1983) PTE LTD,875,Commonwealth,308,Holland Village,997,Buona Vista,1110,11061,183,11439,200,11429,221,2,1,1,1,9,5740.793660094361,110,,316343.0,1.16
117,467A Fernvale Link,47,398888.0,1.39798359035227,103.8784589917,791467,467A FERNVALE LINK FERNVALE LEA SINGAPORE 791467,SENGKANG,2015,88,1 ROOM,8.0,True,The Seletar Mall,769,Seletar Mall,769,Anchorvale Village,1117,FERN GREEN PRIMARY SCHOOL,223,SENGKANG GREEN PRIMARY SCHOOL,718,PEI HWA SECONDARY SCHOOL,846,Fernvale Hawker Centre & Market,714,Anchorvale Village Hawker Centre,1117,Buangkok Hawker Centre,2301,Sengkang Polyclinic,1812,Hougang Polyclinic,3335,Punggol Polyclinic,3870,SHENG SIONG SUPERMARKET PTE LTD,361,LABIBA ENTERPRISE PTE. LTD.,643,SHENG SIONG SUPERMARKET PTE LTD,728,Kupang,312,Thanggam,323,Layar,679,67701,130,67551,314,67561,323,4,1,3,0,6,13181.214577148343,110,,443195.0,-10.0
118,448B Sengkang West Way,47,418000.0,1.39341981691827,103.873319886194,792448,448B SENGKANG WEST WAY FERNVALE CREST SINGAPORE 792448,SENGKANG,2013,86,1 ROOM,8.0,True,The Seletar Mall,380,Seletar Mall,380,Anchorvale Village,1722,SENGKANG GREEN PRIMARY SCHOOL,209,FERNVALE PRIMARY SCHOOL,369,PEI HWA SECONDARY SCHOOL,664,Fernvale Hawker Centre & Market,454,Anchorvale Village Hawker Centre,1722,Ci Yuan Hawker Centre,2278,Sengkang Polyclinic,2289,Hougang Polyclinic,3142,Ang Mo Kio Polyclinic,3735,NTUC FAIRPRICE CO-OPERATIVE LTD,170,LABIBA ENTERPRISE PTE. LTD.,355,NTUC FAIRPRICE CO-OPERATIVE LTD,380,Fernvale,373,Thanggam,504,Layar,761,68029,81,68021,95,67579,164,3,1,3,1,11,12549.955378642551,110,,434173.0,-3.73
119,232C Sumang Lane,47,425000.0,1.40203576124081,103.890116621791,823232,232C SUMANG LANE MATILDA COURT SINGAPORE 823232,PUNGGOL,2017,90,1 ROOM,8.0,True,Anchorvale Village,612,Compass One,1239,Waterway Point,1411,SPRINGDALE PRIMARY SCHOOL,755,YUSOF ISHAK SECONDARY SCHOOL,875,PUNGGOL GREEN PRIMARY SCHOOL,965,Anchorvale Village Hawker Centre,612,One Punggol Hawker Centre,1832,Fernvale Hawker Centre & Market,1852,Sengkang Polyclinic,1111,Punggol Polyclinic,2540,Hougang Polyclinic,3575,SHENG SIONG SUPERMARKET PTE LTD,316,U STARS SUPERMARKET PTE. LTD.,585,U STARS SUPERMARKET PTE. LTD.,601,Farmway,549,Cheng Lim,760,Soo Teck,877,65549,196,65541,207,67691,354,3,0,2,0,7,13998.601259314655,110,,447855.0,-5.1
120,424A Yishun Avenue 11,47,370000.0,1.42322643296322,103.848049317931,761424,424A YISHUN AVENUE 11 ORCHID SPRING @ YISHUN SINGAPORE 761424,YISHUN,2014,87,1 ROOM,8.0,True,GV Yishun,1486,Northpoint City,1542,Canberra Plaza,2992,NORTHBROOKS SECONDARY SCHOOL,420,NORTH VIEW PRIMARY SCHOOL,471,HUAMIN PRIMARY SCHOOL,594,Yishun Park Hawker Centre,416,Chong Pang Hawker Centre & Market,2279,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),2354,Khatib Polyclinic,1187,Yishun Polyclinic,1264,Sembawang Polyclinic,2479,COLD STORAGE SINGAPORE (1983) PTE LTD,206,NTUC FAIRPRICE CO-OPERATIVE LTD,217,SHENG SIONG SUPERMARKET PTE LTD,605,Yishun,1606,Khatib,1797,Canberra,3005,59469,76,59461,127,59471,251,0,0,3,1,8,15536.91898970081,110,,415543.0,-10.96
121,468B Bukit Batok West Avenue 9,48,420000.0,1.35686958198537,103.743161006143,652468,468B BUKIT BATOK WEST AVENUE 9 WEST PLAINS @ BUKIT BATOK SINGAPORE 652468,BUKIT BATOK,2021,94,1 ROOM,8.0,True,Le Quest,249,Parc Point,643,Plantation Plaza,1002,DAZHONG PRIMARY SCHOOL,644,MILLENNIA INSTITUTE,749,DUNEARN SECONDARY SCHOOL,766,Bukit Batok West Hawker Centre,199,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1605,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1801,Bukit Batok Polyclinic,748,Jurong Polyclinic,1595,Choa Chu Kang Polyclinic,2956,SHENG SIONG SUPERMARKET PTE LTD,435,SHENG SIONG SUPERMARKET PTE LTD,447,COLD STORAGE SINGAPORE (1983) PTE LTD,731,Bukit Gombak,979,Bukit Batok,1125,Chinese Garden,1996,40379,78,40371,137,40369,208,1,0,2,1,8,14198.89738067031,110,,471533.0,-10.93
122,624C Punggol Central,46,398000.0,1.40049144817147,103.911982951019,823624,624C PUNGGOL CENTRAL PUNGGOL SPECTRA SINGAPORE 823624,PUNGGOL,2014,87,1 ROOM,8.0,True,Oasis Terraces,289,Punggol Plaza,705,Waterway Point,1299,HORIZON PRIMARY SCHOOL,190,PUNGGOL SECONDARY SCHOOL,354,GREENDALE SECONDARY SCHOOL,394,One Punggol Hawker Centre,1190,Punggol Coast Hawker Centre,1606,Anchorvale Village Hawker Centre,2649,Punggol Polyclinic,258,Sengkang Polyclinic,2185,Hougang Polyclinic,4253,COLD STORAGE SINGAPORE (1983) PTE LTD,161,THE SEAFOOD MARKET PLACE (BY SONG FISH) PTE. LTD.,298,NTUC FAIRPRICE CO-OPERATIVE LTD,298,Oasis,216,Meridian,522,Kadaloor,522,65271,156,65279,172,65311,199,7,1,7,0,8,14842.348095217996,110,,461335.0,-13.73
123,459 Yishun Avenue 11,48,379000.0,1.42103574926841,103.846333547036,760459,459 YISHUN AVENUE 11 DEW SPRING @ YISHUN SINGAPORE 760459,YISHUN,2012,85,1 ROOM,8.0,True,GV Yishun,1475,Northpoint City,1518,Canberra Plaza,3065,NORTHBROOKS SECONDARY SCHOOL,134,NORTHLAND PRIMARY SCHOOL,617,HUAMIN PRIMARY SCHOOL,700,Yishun Park Hawker Centre,474,Chong Pang Hawker Centre & Market,2213,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),2292,Khatib Polyclinic,1034,Yishun Polyclinic,1306,Sembawang Polyclinic,2347,SHENG SIONG SUPERMARKET PTE LTD,324,NTUC FAIRPRICE CO-OPERATIVE LTD,389,COLD STORAGE SINGAPORE (1983) PTE LTD,442,Khatib,1539,Yishun,1568,Canberra,3070,59581,210,59589,246,59461,266,0,0,4,1,11,15294.031906116956,110,,399854.0,-5.22
124,314 Ang Mo Kio Avenue 3,44,299999.0,1.36622707120636,103.850085858983,560314,314 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560314,ANG MO KIO,1978,51,1 ROOM,8.0,True,AMK Hub,394,Junction 8,1757,Thomson Plaza,2488,TECK GHEE PRIMARY SCHOOL,121,DEYI SECONDARY SCHOOL,275,JING SHAN PRIMARY SCHOOL,665,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),312,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),702,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),733,Ang Mo Kio Polyclinic,1025,Toa Payoh Polyclinic,3664,Hougang Polyclinic,4345,COLD STORAGE SINGAPORE (1983) PTE LTD,322,G8 MART PTE. LTD.,334,NTUC FAIRPRICE CO-OPERATIVE LTD,385,Ang Mo Kio,416,Mayflower,1612,Bishan,1661,54331,123,54339,185,54329,333,1,1,3,1,7,9202.653350545947,110,,400085.0,-25.02
